rho, V, psi_0, psi_1, psi_2, psi_3, psi_4, psi_5, psi_6, psi_7, psi_8, psi_9, psi_10, psi_11, psi_12, psi_13, psi_14, psi_15, psi_16, psi_17, psi_18, psi_19, psi_20, psi_21, psi_22, psi_23, psi_24, psi_25, psi_26, psi_27, psi_28, psi_29, psi_30, psi_31, psi_32, psi_33, psi_34, psi_35, psi_36, psi_37, psi_38, psi_39, psi_40, psi_41, psi_42, psi_43, psi_44, psi_45, psi_46, psi_47, psi_48, psi_49, psi_50, psi_51, psi_52, psi_53, psi_54, psi_55, psi_56, psi_57, psi_58, psi_59, psi_60, psi_61, psi_62, psi_63, psi_64, psi_65, psi_66, psi_67, psi_68, psi_69, psi_70, psi_71, psi_72, psi_73, psi_74, psi_75, psi_76, psi_77, psi_78, psi_79, psi_80, psi_81, psi_82, psi_83, psi_84, psi_85, psi_86, psi_87, psi_88, psi_89, psi_90, psi_91, psi_92, psi_93, psi_94, psi_95, psi_96, psi_97, psi_98, psi_99, E
4.8, 23.1268, 5.78742e-05, -0.000771749, 0.00556797, -0.0257066, 0.0803456, -0.170285, -0.228995, 0.143878, 0.0717121, -0.175137, 0.00469483, 0.16016, 0.0117705, 0.15047, -0.0206531, 0.135286, 0.0743938, -0.0922978, -0.122387, -0.011998, 0.125473, -0.0803338, 0.0594131, -0.127107, 0.0438169, 0.0954054, 0.116312, -0.0186534, -0.131314, -0.0563226, -0.104185, -0.107832, -0.0571727, 0.132887, 0.00625558, -0.13628, -0.0396275, -0.124695, 0.0766016, 0.104225, 0.103864, -0.0795893, -0.122243, 0.0540935, -0.133288, 0.0298694, -0.138743, 0.00817067, -0.140276, 0.010354, 0.139352, -0.0254395, 0.137197, -0.0370322, -0.134792, -0.0451593, -0.132894, 0.0498247, 0.132047, -0.0509276, 0.132568, -0.0481897, 0.13451, 0.041098, -0.137548, -0.0288755, -0.140779, -0.0105269, 0.142387, 0.0149304, -0.13914, -0.0478117, -0.125807, 0.0862305, -0.0949396, -0.122978, -0.0386233, 0.14042, -0.0434534, 0.106714, 0.121109, 0.00628736, -0.0909412, 0.109519, -0.0893742, -0.0609029, -0.166775, 0.0313908, -0.202787, 0.218599, 0.113761, -0.0362705, -0.00757657, -0.00105034, -9.47158e-05, 5.23781e-06, -4.06641e-08, -1.57649e-07, -1.27845e-09, -4.93529e-09, 228.698,
4.9, 24.0933, 3.68234e-05, -0.000513271, 0.00388837, -0.0189815, 0.0633889, -0.146162, -0.222485, 0.184837, 0.0074727, -0.172225, 0.0780837, 0.135547, 0.0893745, 0.128025, 0.0657084, 0.136996, -0.0150702, -0.13653, -0.0542235, -0.0995903, 0.114658, 0.017543, 0.124042, -0.0769761, -0.0656173, 0.127524, 0.0209229, -0.118225, -0.0894193, 0.0744106, -0.126186, 0.0213668, -0.136183, 0.0272928, 0.128453, -0.0663658, 0.110888, -0.0951206, -0.0891305, 0.114812, -0.0667928, -0.127351, 0.0459962, 0.134662, 0.0278698, 0.138423, 0.0129353, 0.139983, 0.0013757, -0.140368, 0.00678307, 0.140313, 0.0115561, 0.140292, -0.0129249, 0.140534, -0.0107927, -0.141023, 0.00496574, 0.141458, -0.00483769, 0.141182, -0.0189328, -0.139072, 0.0375379, 0.133387, 0.0605046, 0.121621, -0.08681, 0.10046, 0.113673, -0.0661368, 0.13518, 0.0158465, 0.140619, 0.0484716, 0.113949, -0.112124, -0.0396546, -0.135948, -0.071518, 0.0590281, 0.114824, -0.0959866, 0.035401, 0.111497, 0.14094, -0.0892457, 0.167203, -0.233775, -0.137799, 0.0481337, 0.0108583, 0.00161341, 0.0001553, -9.15346e-06, 3.31124e-08, 2.9566e-07, 7.51809e-09, -4.23463e-09, 234.882,
5, 25.08, 2.32047e-05, -0.000337395, 0.00268, -0.0138036, 0.0490903, -0.122398, -0.207763, 0.211715, -0.0576288, -0.142719, 0.136373, 0.0794568, 0.14276, 0.0659403, 0.129193, 0.0857441, -0.0981306, -0.11753, 0.0411195, -0.133477, 0.0376653, 0.10463, 0.107673, 0.0263743, -0.127106, 0.0612695, -0.0914936, -0.11636, 0.0332954, 0.13436, -0.0219828, 0.128122, -0.0651357, -0.109813, 0.0954366, 0.0873763, 0.11516, 0.0652864, -0.127153, -0.0457816, -0.133937, 0.0298143, 0.137464, -0.0176636, 0.139133, -0.00929997, 0.13987, -0.00459033, 0.140226, 0.00340474, -0.140437, -0.00566459, -0.140471, -0.0113515, 0.140041, -0.0204866, 0.13859, 0.0330798, -0.135262, -0.0490349, -0.128867, -0.0679962, -0.117849, 0.0891079, 0.100324, -0.110654, 0.0742548, -0.129561, -0.0379475, -0.140818, -0.00884853, 0.137052, -0.0628164, -0.109048, -0.113579, 0.0490984, -0.139563, 0.0391387, 0.108372, 0.120395, 0.000584656, -0.108391, -0.110429, 0.0605181, 0.0259196, -0.142014, -0.0941629, 0.136949, -0.118971, 0.240954, 0.163317, -0.0628622, -0.0153623, -0.00245154, -0.000252235, 1.58994e-05, -5.71665e-09, -5.54299e-07, -2.67323e-08, 8.61989e-10, 241.067,
5.1, 26.0869, 1.4467e-05, -0.000219201, 0.00182341, -0.00988985, 0.0373444, -0.100168, -0.187463, 0.224595, -0.116663, -0.0926134, 0.169666, 0.00571448, 0.158899, -0.0158964, 0.148998, 0.00220734, -0.140481, -0.0452798, 0.116265, -0.0967284, -0.0606881, 0.12842, 0.022078, 0.111756, -0.097, -0.0516325, -0.130371, -0.0158311, 0.126252, 0.0678518, 0.103985, 0.101591, 0.0770276, -0.121239, -0.0519374, 0.131632, -0.0312865, 0.136553, 0.0157333, -0.138578, 0.00514031, 0.139304, 0.000877886, -0.139618, 0.00271177, -0.139898, 0.000668648, -0.140146, -0.00503734, 0.140069, 0.0142548, -0.139115, 0.0268343, -0.136491, -0.0425427, -0.131171, -0.0609475, 0.121909, 0.0812612, -0.107301, 0.102142, -0.0859091, 0.121454, 0.0565415, -0.136011, -0.0187513, -0.141399, 0.0263093, 0.132082, 0.0745835, -0.102242, -0.11741, -0.0481619, 0.140073, 0.0266608, -0.122812, 0.102887, 0.0498405, -0.136668, -0.0639667, 0.0705291, 0.127369, 0.0777262, -0.0106096, -0.0815996, 0.145532, 0.0324459, -0.167694, 0.0605404, -0.237464, -0.188947, 0.0806998, 0.0214408, 0.00368292, 0.000405673, -2.73328e-05, -1.40221e-08, 1.0113e-06, 3.771e-08, -6.5785e-09, 247.248,
5.2, 27.114, 8.9361e-06, -0.000140802, 0.00122486, -0.00698328, 0.0279239, -0.0802205, -0.164056, 0.224934, -0.164613, -0.0300906, 0.1736, -0.0692387, 0.135211, -0.0931346, 0.119959, -0.0821379, -0.125995, 0.0470205, 0.135497, -0.00978497, -0.125248, 0.075838, -0.0774844, 0.122145, 0.00200938, -0.125755, -0.0658006, 0.0979588, 0.107665, -0.0618211, 0.128068, -0.029583, 0.135882, 0.00484666, -0.13761, 0.0122986, -0.137108, 0.0227771, 0.136397, -0.0275781, 0.136356, 0.0274659, -0.137156, -0.022947, -0.138509, -0.0143342, -0.139799, -0.00184475, -0.140146, -0.0142852, 0.138448, 0.0336734, 0.133413, 0.0556482, -0.123628, 0.0790908, -0.107666, -0.102268, 0.0842945, 0.122677, 0.0527904, 0.136948, 0.0134391, -0.140895, 0.0317808, 0.129887, 0.0783344, 0.0997921, -0.118271, 0.0488735, 0.139876, 0.018984, 0.12904, -0.0897927, 0.074587, 0.135593, -0.0192336, -0.117941, 0.112587, -0.0148363, -0.119161, -0.109335, -0.0243013, -0.0419394, 0.118684, -0.119885, 0.0347523, 0.175953, 0.0037012, 0.22102, 0.212765, -0.1017, -0.0294968, -0.00546728, -0.000645848, 4.65271e-05, 1.36262e-08, -1.84544e-06, -6.1404e-08, 6.64229e-09, 253.417,
5.3, 28.1612, 5.43734e-06, -8.94238e-05, 0.000812467, -0.00486111, 0.0205347, -0.0629424, -0.139648, 0.215066, -0.198648, 0.0361514, 0.149315, -0.130246, 0.079051, -0.144406, 0.0528504, -0.13726, -0.0618536, 0.118992, 0.0909848, 0.0821336, -0.121377, -0.02105, -0.128838, 0.0518506, 0.0996124, -0.106743, 0.0502929, 0.130719, -0.00491596, -0.134591, 0.0280119, -0.130595, 0.0491976, 0.125486, -0.0612447, -0.12219, -0.0663301, -0.121626, 0.0658288, 0.12369, 0.0604541, -0.127723, -0.0504919, 0.132704, -0.0360293, 0.137326, -0.0171655, 0.140042, 0.00578982, -0.139109, -0.0321228, 0.132688, -0.0605282, 0.119014, 0.0889448, 0.0966633, 0.114447, -0.0649391, -0.133249, 0.0243893, -0.140908, -0.0225727, -0.132867, 0.0710301, 0.105476, -0.113115, 0.0576851, -0.13818, 0.00656303, -0.134322, -0.0755511, 0.0923792, -0.127917, -0.0135475, -0.134965, -0.079678, -0.0734035, 0.135399, -0.0441778, 0.0882944, 0.128561, 0.0583836, -0.0358571, 0.0836114, -0.12748, 0.068958, -0.0957158, -0.158775, -0.0675488, -0.190204, -0.232314, 0.125621, 0.0399641, 0.00801531, 0.0010174, -7.84867e-05, -2.5604e-08, 3.35209e-06, 8.57761e-08, -5.86422e-09, 259.568,
5.4, 29.2286, 3.25386e-06, -5.61566e-05, 0.00053226, -0.00333682, 0.0148585, -0.0484302, -0.115879, 0.197737, -0.218009, 0.098311, 0.102351, -0.166411, 0.00474942, -0.156957, -0.0304657, -0.145012, 0.0260051, 0.14079, 0.0046407, 0.133168, -0.0524854, -0.105865, -0.101406, -0.0521412, 0.128563, -0.00981686, 0.127543, 0.0567465, -0.113258, -0.0849142, -0.098898, -0.0998507, -0.089656, 0.10645, 0.0865838, -0.107408, 0.0891745, -0.103786, -0.0963299, 0.0956721, -0.106629, -0.0826849, 0.118352, 0.0643524, 0.129458, 0.0404378, 0.13759, 0.0112364, 0.140177, 0.0221495, -0.134645, -0.0575823, -0.118773, -0.0917561, 0.0911928, -0.120234, 0.0520191, 0.137751, -0.0035374, -0.138901, 0.0491796, -0.119308, 0.0979724, 0.0773397, -0.131997, -0.0162555, -0.139365, 0.053637, 0.110647, 0.113874, -0.0446519, -0.139801, 0.0441431, 0.108738, 0.11995, -0.017454, 0.130973, -0.0932737, -0.0420967, -0.129001, -0.0942617, 0.0107684, 0.0856974, -0.102706, 0.104528, -0.00275397, 0.138486, 0.116949, 0.123484, 0.144991, 0.244722, -0.151808, -0.053272, -0.0115973, -0.00158504, 0.000131124, 2.11931e-08, -5.99761e-06, -1.4462e-07, -2.33462e-09, 265.695,
5.5, 30.3161, 1.93126e-06, -3.48656e-05, 0.000344438, -0.00225917, 0.0105834, -0.0365729, -0.0938997, 0.175698, -0.223639, 0.150438, 0.0409541, -0.172644, -0.0705905, -0.129129, -0.10477, -0.104297, 0.104175, 0.104754, -0.0837866, 0.119362, 0.0439514, -0.131112, -0.0130666, -0.122814, 0.0703059, 0.0941682, 0.107673, -0.0629429, -0.125163, 0.0410917, -0.132075, 0.0305464, -0.134414, -0.0299147, 0.134324, 0.0374189, 0.131741, 0.0513708, -0.125508, -0.0699798, -0.114046, 0.0910761, 0.0958543, -0.111925, 0.0699593, -0.1292, 0.0363666, -0.139166, -0.00352178, 0.138097, 0.0465986, -0.122938, 0.0879652, -0.0921739, -0.121208, -0.0467959, -0.139175, -0.00882876, 0.135354, 0.066493, 0.105854, 0.11451, 0.0517804, -0.13939, 0.0185033, 0.129268, 0.0882468, 0.0792066, -0.133887, -0.00241348, 0.131345, 0.0889368, 0.0686337, -0.137329, -0.0366235, 0.105367, -0.124546, 0.00908794, 0.11089, 0.120455, 0.0268973, -0.0764463, -0.109946, 0.0929513, -0.0544096, -0.0640901, -0.153427, -0.0556954, -0.163612, -0.087226, -0.246947, 0.179083, 0.0697871, 0.0165493, 0.00244092, -0.000216899, -6.77573e-09, 1.06274e-05, 2.52676e-07, 5.75436e-09, 271.792,
5.6, 31.4238, 1.14517e-06, -2.13929e-05, 0.000220227, -0.00150901, 0.00742346, -0.0271256, -0.074411, 0.151419, -0.217659, 0.188879, -0.0257639, -0.149736, -0.13128, -0.069512, -0.149244, -0.0298768, 0.144688, 0.0268471, -0.135531, 0.048761, 0.117809, -0.0840379, 0.0829761, -0.116368, -0.0348623, 0.131485, 0.00700648, -0.132621, -0.0318818, 0.130616, -0.0415369, 0.130796, -0.0395904, -0.133639, 0.028278, 0.137355, 0.00891963, 0.139129, 0.0171844, -0.135734, 0.0480457, 0.12406, -0.0805511, -0.101732, -0.110347, -0.067833, -0.132112, -0.0236243, -0.140273, -0.0269251, 0.130151, 0.0770358, 0.0994266, 0.117698, -0.0496534, 0.139124, 0.0125963, -0.13312, -0.0755244, 0.0961308, -0.123458, 0.0323359, -0.140255, 0.0443215, 0.114823, -0.110765, 0.0479375, -0.139846, 0.0419355, -0.111003, -0.118012, 0.0254384, -0.135557, 0.0802901, -0.0679652, -0.136461, 0.0558852, 0.0792966, -0.132405, -0.0645842, 0.0502001, 0.116615, 0.100143, -0.0560568, -0.0104533, 0.115329, 0.135837, -0.0154266, 0.180984, 0.0209433, 0.236161, -0.205658, -0.0897305, -0.0232728, -0.00371362, 0.0003551, -1.59924e-08, -1.86789e-05, -4.39772e-07, -1.76382e-08, 277.851,
5.7, 32.5516, 6.81326e-07, -1.29746e-05, 0.000139173, -0.000994607, 0.00512944, -0.0197717, -0.0577352, 0.126918, -0.202835, 0.212267, -0.0894248, -0.103244, -0.166205, 0.00643405, -0.152908, 0.053861, 0.13453, -0.0614879, -0.129465, -0.0444923, 0.132472, 0.00844366, 0.131036, -0.0381624, -0.117162, 0.0771961, -0.0988389, -0.0984199, 0.0878336, 0.10565, 0.0874399, 0.103433, 0.0958989, -0.0930539, -0.109825, 0.0740587, -0.124999, 0.0459189, 0.136538, -0.00925488, 0.139268, -0.0333185, -0.128529, 0.0768027, -0.101347, 0.114052, -0.0577565, 0.136797, -0.00188353, -0.13747, -0.0576818, 0.111617, -0.108711, 0.0603764, 0.137665, -0.0077965, 0.133468, 0.0771413, -0.0920912, -0.127242, -0.0206143, -0.138705, 0.0611654, 0.101205, -0.123785, -0.021678, -0.137372, 0.0714257, 0.086568, 0.133219, 0.0134756, -0.121361, 0.110388, 0.0277193, 0.132329, 0.092429, 0.0413317, -0.130151, 0.0959769, -0.0173889, -0.108566, -0.116555, -0.0581958, 0.00216295, 0.0723657, -0.137185, -0.0879141, 0.0836411, -0.171141, 0.0476206, -0.210269, 0.22911, 0.11307, 0.0322251, 0.00557859, -0.000575117, -5.91283e-09, 3.25219e-05, 8.42887e-07, 1.12058e-08, 283.868,
5.8, 33.6995, 4.02919e-07, -7.76015e-06, 8.69256e-05, -0.000647006, 0.00349264, -0.0141707, -0.0439046, 0.103687, -0.182098, 0.221174, -0.143502, -0.0416752, -0.170418, 0.0809426, -0.116515, 0.121419, 0.0788026, -0.126645, -0.0696637, -0.117587, 0.0820935, 0.0964598, 0.104825, 0.0631381, -0.123952, -0.0299885, -0.132766, 0.0117412, 0.135732, -0.0107097, 0.136502, -0.0236588, 0.133985, 0.0469465, -0.124689, -0.076399, -0.104838, -0.106492, 0.0720241, 0.130225, 0.0266627, -0.139954, 0.0269396, 0.129129, 0.0803555, 0.0946116, 0.122098, 0.0389144, 0.140179, 0.0285507, -0.125901, -0.0921578, -0.077992, -0.133316, 0.00560689, -0.136154, -0.0715252, 0.0944198, 0.12722, -0.0171814, 0.137454, 0.0698561, 0.0917008, -0.130352, -0.00274489, 0.131573, 0.0912592, 0.0637312, -0.138622, -0.0444533, 0.101629, 0.127856, -0.00895731, -0.117814, -0.116855, 0.00354893, -0.116955, 0.117912, -0.0164449, 0.0921346, 0.125176, 0.074949, -0.00309954, 0.0524116, -0.113021, 0.122515, 0.01935, -0.135132, 0.133601, -0.110451, 0.168513, -0.246452, -0.139391, -0.0438935, -0.00826924, 0.00092102, 2.41176e-08, -5.60944e-05, -1.52844e-06, -2.49899e-08, 289.835,
5.9, 34.8675, 2.48677e-07, -4.60209e-06, 5.36763e-05, -0.000415473, 0.00234414, -0.00999135, -0.0327505, 0.0827063, -0.158179, 0.217578, -0.183874, 0.025493, -0.145131, 0.138312, -0.0509598, 0.153921, -0.00269681, -0.145543, 0.0182389, -0.138781, -0.00763222, 0.134591, 0.0204236, 0.126966, -0.0523038, -0.116975, -0.0716384, 0.112978, 0.0742362, -0.11793, 0.0624028, -0.128215, 0.0375491, 0.137339, -0.001092, -0.137834, 0.0433268, -0.122852, -0.0886391, 0.0882897, -0.124654, -0.0350802, 0.14008, -0.0292312, 0.126065, -0.0907328, 0.0803527, -0.131993, 0.0105316, 0.137466, 0.0654874, -0.100208, 0.123177, -0.0274468, -0.139393, 0.0580703, -0.102724, -0.123407, 0.0221615, 0.137702, -0.0711054, 0.0880541, -0.132888, 0.00807834, 0.126238, -0.103076, 0.0459656, -0.138597, 0.0666375, -0.0818652, -0.135839, -0.0386438, -0.0987657, 0.130389, 0.0295146, -0.0974909, 0.130109, -0.0471362, -0.0706646, -0.12751, -0.0921784, -0.00575238, 0.0633282, -0.0898784, 0.119158, -0.0737943, 0.0539831, 0.158024, -0.0728775, 0.158692, -0.112075, 0.254344, 0.16776, 0.0587491, 0.0120872, -0.00145783, -2.44606e-08, 9.57862e-05, 2.81267e-06, 1.47911e-08, 295.746,
6, 36.0556, 1.36677e-07, -2.70412e-06, 3.27405e-05, -0.000263416, 0.00155124, -0.00693323, -0.0239821, 0.0645018, -0.133374, 0.204265, -0.208873, 0.089539, -0.0964464, 0.168037, 0.0267444, 0.143811, -0.0833462, -0.113008, 0.099001, -0.100366, -0.0937905, 0.104715, -0.0750721, 0.116949, 0.0518212, -0.126564, 0.0399276, 0.12968, -0.0462097, -0.125912, -0.0672583, -0.11217, -0.0961401, 0.0842394, 0.123705, -0.0402965, 0.139106, 0.016279, -0.132026, -0.075592, -0.0964684, 0.122393, 0.0347907, -0.140245, -0.0400792, -0.118053, -0.106272, -0.0567773, -0.139404, -0.0269373, 0.122619, 0.103373, 0.0566071, 0.139769, 0.0357084, 0.115402, 0.11446, -0.0354158, -0.139138, -0.0650135, -0.0908524, -0.132656, 0.010656, 0.123675, -0.10858, -0.035063, -0.136753, 0.0806989, 0.0657656, 0.138055, 0.0603078, -0.0799541, 0.13593, -0.0556213, 0.0763281, 0.134345, -0.0722222, -0.0476004, 0.124373, 0.106882, 0.0215562, -0.0656301, -0.10101, 0.09694, -0.0874856, 0.00368733, -0.11337, -0.145597, -0.00135777, -0.184087, 0.044541, -0.249461, -0.1966, -0.0771723, -0.0174094, 0.00227952, 1.93568e-08, -0.000161874, -5.18108e-06, -3.9966e-08, 301.595,
6.1, 37.2637, 7.69722e-08, -1.56616e-06, 1.97496e-05, -0.000164909, 0.00101237, -0.00473686, -0.0172503, 0.0492422, -0.109435, 0.184298, -0.218929, 0.143701, -0.0333778, 0.166208, 0.0983957, 0.0956266, -0.138735, -0.0419022, 0.1422, -0.0200565, -0.137242, 0.0231942, -0.130693, 0.0403247, 0.124395, -0.0539404, 0.123864, 0.050918, -0.13052, -0.0294604, -0.137846, 0.00803026, -0.135608, -0.0558563, 0.114097, 0.10323, 0.0683748, 0.135003, -0.00232697, -0.135979, 0.0694662, 0.0978291, -0.124329, -0.0257961, -0.139354, 0.0588071, -0.102567, 0.123623, -0.0224724, -0.138107, -0.0701512, 0.0898874, -0.132321, -0.00372749, 0.129241, -0.0979162, 0.0562677, 0.139913, 0.0509852, -0.0996808, 0.129552, 0.0049528, 0.124809, -0.108801, -0.0317971, 0.135482, 0.0877297, 0.0554761, -0.137746, -0.0743127, 0.0646725, 0.136786, -0.0743427, -0.0570769, -0.133399, -0.0909079, -0.0259713, 0.117565, -0.117793, -0.0380212, 0.0581252, 0.11128, 0.10151, -0.0700362, 0.0269969, 0.0675329, 0.142098, 0.0988687, 0.0753249, 0.180756, 0.0279409, 0.229034, 0.223616, 0.0993496, 0.0246879, -0.00351903, -2.38176e-08, 0.000270682, 9.3926e-06, 9.27095e-08, 307.375,
6.2, 38.492, 4.34373e-08, -8.77199e-07, 1.17798e-05, -0.000101963, 0.000651707, -0.00318741, -0.0121954, 0.0368356, -0.0875509, 0.160591, -0.216014, 0.183765, 0.0342588, 0.135209, 0.148986, 0.0232987, -0.153779, 0.04299, 0.133193, 0.0683792, -0.119888, -0.0694812, -0.118501, -0.0587704, 0.122759, 0.0530589, 0.123609, -0.0647023, -0.114367, 0.0910642, -0.0890571, 0.120872, -0.0438395, -0.138954, -0.0180745, 0.13021, -0.0833615, 0.0861455, 0.130394, -0.0118636, 0.137062, -0.0710354, -0.0926088, 0.129807, -0.00783807, 0.134679, 0.0835732, 0.0765197, 0.137203, 0.0219515, -0.120813, -0.111243, -0.0368588, -0.138984, -0.0708657, -0.0827965, -0.136606, -0.0280708, 0.112961, 0.122085, 0.00910163, 0.129244, -0.103749, -0.0364025, 0.135846, -0.0884874, 0.0520618, -0.137158, 0.081479, -0.0548991, -0.13583, -0.0862686, -0.0421667, 0.130151, 0.103594, -0.00797729, 0.109351, -0.124904, 0.0526654, -0.0484652, -0.112665, -0.111931, -0.0633959, 0.0177333, 0.0427157, -0.117536, -0.130654, -0.0276331, -0.133491, -0.146998, -0.0969757, -0.191523, -0.245813, -0.12514, -0.0344372, 0.00536033, 2.29887e-08, -0.000447584, -1.68472e-05, -1.75863e-07, 313.081,
6.3, 39.7404, 3.2412e-08, -4.84652e-07, 6.96047e-06, -6.2295e-05, 0.000413929, -0.0021131, -0.00847818, 0.0270229, -0.0684027, 0.135631, -0.202997, 0.208095, 0.0976346, 0.0821686, 0.169548, -0.0546207, -0.126023, 0.114274, 0.0769478, 0.129965, -0.0509132, -0.129609, -0.0463015, -0.125849, 0.0494219, 0.126907, 0.040879, -0.134294, -0.0116113, 0.138314, 0.0357456, 0.124473, 0.0898078, -0.0819923, -0.131056, 0.0118095, -0.137378, -0.0685706, 0.0953981, 0.128201, 0.0123385, -0.136007, 0.0801055, 0.0799427, 0.136561, -0.0190496, 0.122106, -0.110448, 0.0376227, 0.139174, 0.0717541, -0.0815362, 0.137362, 0.0312844, -0.110848, 0.124453, -0.0042057, -0.127526, -0.107572, 0.0313066, -0.135181, -0.0923669, -0.0487188, 0.137546, -0.0829948, -0.0558924, -0.137338, 0.0824011, 0.0516655, 0.135059, 0.0922495, -0.0330294, 0.126998, -0.111246, -0.00502974, 0.101897, -0.128995, 0.0641477, 0.0392956, 0.11188, 0.117066, 0.0659224, 0.000375351, 0.0412221, -0.0973006, 0.129144, 0.0806412, -0.0507971, 0.161989, 0.0866603, 0.152836, 0.137335, 0.259642, 0.153918, 0.0472031, -0.00805139, -2.70117e-08, 0.000731473, 2.99609e-05, 3.45267e-07, 318.705,
6.4, 41.0088, 3.52955e-08, -2.56986e-07, 4.07725e-06, -3.75925e-05, 0.000259437, -0.0013806, -0.00579845, 0.0194559, -0.0522602, 0.111332, -0.183061, 0.217247, 0.150106, 0.0167755, 0.158086, -0.120124, -0.0647919, 0.150836, -0.00561064, 0.142167, 0.0393376, -0.130668, 0.0487572, -0.125965, -0.0521547, 0.123072, -0.068608, -0.110054, 0.0997891, 0.0760233, 0.130492, 0.017157, 0.138803, 0.056574, -0.106555, -0.119627, -0.0320977, -0.139895, -0.0610916, 0.0975431, -0.129541, -0.00378723, 0.131877, -0.0954459, 0.058232, -0.140544, -0.0534764, -0.0969377, -0.132571, -0.0134244, 0.120771, 0.11633, 0.0198153, 0.133178, 0.0982298, 0.0444862, 0.138156, 0.0827271, -0.0604379, -0.139221, 0.0727994, -0.0679438, 0.138861, -0.0704654, -0.0667667, 0.138051, 0.0770626, 0.0553705, -0.135407, -0.0928321, 0.0304261, 0.125575, -0.114811, 0.0123108, -0.0969369, -0.131102, 0.0718164, 0.032394, -0.110736, -0.120615, -0.0678845, 0.00840219, 0.0627974, -0.0841906, 0.116192, -0.0969283, -0.00580068, 0.115357, -0.152429, -0.00955433, -0.185994, -0.0694471, -0.261339, -0.184419, -0.0635052, 0.0119167, 2.03199e-08, -0.00118092, -5.27244e-05, -6.71296e-07, 324.242,
6.5, 42.2973, 4.76174e-08, -1.26461e-07, 2.37721e-06, -2.24137e-05, 0.000160471, -0.000889174, -0.00390304, 0.0137566, -0.0390872, 0.0890105, -0.159245, 0.213353, 0.187746, -0.0509232, 0.118803, -0.159871, 0.0128156, 0.143508, -0.0863227, 0.102181, 0.113657, -0.0738587, 0.120373, -0.0606807, -0.124602, 0.0454875, -0.134072, -0.010337, 0.138177, -0.0454955, 0.117195, -0.105226, 0.0587517, 0.139563, 0.0283542, -0.120558, 0.109988, -0.0428884, -0.140565, -0.0617532, -0.0929668, 0.133875, -0.0137585, -0.122197, -0.114322, -0.0260329, -0.135976, 0.0912786, -0.0556513, -0.140169, -0.0702685, 0.0757776, -0.139565, -0.0542849, 0.0878644, -0.137574, -0.0449142, 0.0931355, 0.136303, 0.043105, 0.0920133, 0.136583, -0.049572, -0.0837049, 0.137707, -0.064747, 0.0658775, -0.136646, 0.0879263, -0.0347131, -0.126622, -0.114791, 0.0134356, 0.0956388, 0.132084, 0.0753543, 0.0290574, -0.110447, 0.122924, 0.0688481, -0.0132431, -0.0790094, -0.099693, 0.093423, -0.0909635, 0.0305712, -0.0709005, -0.146934, 0.105093, -0.0695235, 0.189128, -0.00626412, 0.247458, 0.214608, 0.0837465, -0.0173664, -2.92438e-09, 0.00188239, 9.17448e-05, 1.27059e-06, 329.685,
6.6, 43.6059, 2.70787e-08, -5.34206e-08, 1.37234e-06, -1.3209e-05, 9.79873e-05, -0.000564653, -0.00258663, 0.00955773, -0.0286469, 0.0694347, -0.134137, 0.199438, 0.209293, -0.112289, 0.0601671, -0.16743, 0.0873518, 0.0963026, -0.139757, 0.0260224, 0.143432, 0.0146936, 0.135686, 0.0353155, -0.129089, -0.0587593, -0.115263, 0.0963342, 0.0772746, -0.132165, 0.00839886, -0.136576, -0.0751525, 0.0872733, 0.134255, 0.00845566, 0.127393, 0.105163, -0.0446733, -0.140418, 0.0704606, 0.0809136, -0.138979, 0.0397501, -0.103388, 0.131853, 0.0164297, 0.116183, 0.124275, 0.00119606, -0.122555, -0.119089, -0.0061231, -0.124513, -0.117638, -0.00570992, -0.122775, -0.120225, -0.00257368, 0.116746, -0.126157, -0.0191542, -0.104422, 0.133327, -0.0442744, -0.082317, -0.137289, 0.0767097, 0.0459139, 0.129901, 0.110964, 0.0080487, 0.0985524, -0.132302, -0.074457, 0.030208, -0.111872, 0.124017, -0.0677287, 0.0183555, 0.0879652, 0.113627, 0.0935681, -0.0639973, 0.0300038, 0.0469541, 0.123932, 0.134575, -0.0303381, 0.133343, -0.159258, 0.0811877, -0.215588, -0.241627, -0.108087, 0.0248979, -3.7265e-09, -0.002961, -0.000157856, -2.40844e-06, 335.028,
